"+warn.equipmentInfo[parameters[0]] +"

[Header] 2020-05-18 10:04:16,774 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbcdsc thread_c1
2020-06-03 10:31:21,084 [1] INFO  testApp.Logging [(null)]  - 362093.NAME=二部固化室09_3
2020-06-03 10:31:21,084 [1] INFO  testApp.Logging [(null)]  - 362101.NAME=二部固化室10_1
2020-06-03 10:31:21,084 [1] INFO  testApp.Logging [(null)]  - 362102.NAME=二部固化室10_2
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362103.NAME=二部固化室10_3
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362111.NAME=二部固化室11_1
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362112.NAME=二部固化室11_2
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362113.NAME=二部固化室11_3
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362121.NAME=二部固化室12_1
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362122.NAME=二部固化室12_2
2020-06-03 10:31:21,085 [1] INFO  testApp.Logging [(null)]  - 362123.NAME=二部固化室12_3
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 362131.NAME=二部固化室13_1
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 362132.NAME=二部固化室13_2
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 362133.NAME=二部固化室13_3
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 362141.NAME=二部固化室14_1
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 362142.NAME=二部固化室14_2
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 362143.NAME=二部固化室14_3
2020-06-03 10:31:21,086 [1] INFO  testApp.Logging [(null)]  - 363011.NAME=三部固化1_1
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363012.NAME=三部固化1_2
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363013.NAME=三部固化1_3
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363021.NAME=三部固化2_1
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363022.NAME=三部固化2_2
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363023.NAME=三部固化2_3
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363031.NAME=三部固化3_1
2020-06-03 10:31:21,087 [1] INFO  testApp.Logging [(null)]  - 363032.NAME=三部固化3_2
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363033.NAME=三部固化3_3
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363041.NAME=三部固化4_1
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363042.NAME=三部固化4_2
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363043.NAME=三部固化4_3
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363051.NAME=三部固化5_1
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363052.NAME=三部固化5_2
2020-06-03 10:31:21,088 [1] INFO  testApp.Logging [(null)]  - 363053.NAME=三部固化5_3
2020-06-03 10:31:21,089 [1] INFO  testApp.Logging [(null)]  - 363061.NAME=三部固化6_1
2020-06-03 10:31:21,089 [1] INFO  testApp.Logging [(null)]  - 363062.NAME=三部固化6_2
2020-06-03 10:31:21,089 [1] INFO  testApp.Logging [(null)]  - 363063.NAME=三部固化6_3
2020-06-03 10:31:21,089 [1] INFO  testApp.Logging [(null)]  - 363071.NAME=三部固化7_1
2020-06-03 10:31:21,089 [1] INFO  testApp.Logging [(null)]  - 363072.NAME=三部固化7_2
2020-06-03 10:31:21,089 [1] INFO  testApp.Logging [(null)]  - 363073.NAME=三部固化7_3
2020-06-03 10:31:21,090 [1] INFO  testApp.Logging [(null)]  - 363081.NAME=三部固化8_1
2020-06-03 10:31:21,090 [1] INFO  testApp.Logging [(null)]  - 363082.NAME=三部固化8_2
2020-06-03 10:31:21,090 [1] INFO  testApp.Logging [(null)]  - 363083.NAME=三部固化8_3
2020-06-03 10:31:21,090 [1] INFO  testApp.Logging [(null)]  - 363091.NAME=三部固化9_1
2020-06-03 10:31:21,090 [1] INFO  testApp.Logging [(null)]  - 363092.NAME=三部固化9_2
2020-06-03 10:31:21,090 [1] INFO  testApp.Logging [(null)]  - 363093.NAME=三部固化9_3
2020-06-03 10:31:21,186 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbcdsc thread_c1
2020-06-03 10:31:21,187 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbcdsc thread_c2
2020-06-03 10:31:21,188 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbzndb thread_jz
2020-06-03 10:31:21,190 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbzndb thread_qm
2020-06-03 10:31:21,192 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbzndb thread_zp
2020-06-03 10:31:21,200 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbzndb thread_cda
2020-06-03 10:31:21,201 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbzndb thread_cdc
2020-06-03 10:31:21,214 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbzndb2 thread_cdb
2020-06-03 10:31:21,225 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbgh thread.
2020-06-03 10:31:21,314 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbhg thread.
2020-06-03 10:31:21,315 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start sbqm thread.
2020-06-03 10:31:21,341 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start ebgh thread.
2020-06-03 10:31:21,405 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start ebhg thread.
2020-06-03 10:31:21,479 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start ybgh thread.
2020-06-03 10:31:21,489 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start gybdz97 thread.1x
2020-06-03 10:31:21,516 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start gybdz07 thread.2x
2020-06-03 10:31:21,779 [1] INFO  testApp.Logging [(null)]  - 2020-06-03 10:31:21_start hbfj thread.
[Footer] [Header] 2020-06-03 10:44:47,778 [1] INFO  testApp.Logging [(null)]  - 363093_70001.MAX=80
2020-06-03 10:44:47,791 [1] INFO  testApp.Logging [(null)]  - 363041_70001.MAX=80
2020-06-03 10:44:47,792 [1] INFO  testApp.Logging [(null)]  - 363093_70001.MIN=40
2020-06-03 10:44:47,792 [1] INFO  testApp.Logging [(null)]  - 363041_70001.MIN=40
2020-06-03 10:44:47,792 [1] INFO  testApp.Logging [(null)]  - 1.TYPE=9cc6e9fdd23344009101e0465ea10e5a
2020-06-03 10:44:47,792 [1] INFO  testApp.Logging [(null)]  - 10010.TYPE=9cc6e9fdd23344009101e0465ea10e5a
2020-06-03 10:44:47,792 [1] INFO  testApp.Logging [(null)]  - 10012.TYPE=ad64b827d326426b97035e64996d0aa2
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 70001.TYPE=test
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 343001.NAME=三部1号球磨机
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 343002.NAME=三部2号球磨机
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 343003.NAME=三部3号球磨机
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 343004.NAME=三部4号球磨机
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 343005.NAME=三部5号球磨机
2020-06-03 10:44:47,793 [1] INFO  testApp.Logging [(null)]  - 343006.NAME=三部6号球磨机
2020-06-03 10:44:47,794 [1] INFO  testApp.Logging [(null)]  - 352001.NAME=二部合膏负1号线
